blockNumber,timestamp, inputAmount,inputInUSD,outputAmount,outputInUSD,slippage,slippageIsAcceptable
14441725,1647507103,100000000000,100000000000000000000000,914992518546740181067,90767401310915706908311826,0.00110171712041704,true
14441972,1647507350,100000000000,100000000000000000000000,914988645920124491455,90766636758638267976938175,0.001101726400482531,true
14442219,1647507597,100000000000,100000000000000000000000,914984863800734933048,90765890162524757247382155,0.001101735462748624,true
14442466,1647507844,100000000000,100000000000000000000000,914981085337745007111,90765144291341755620702287,0.001101744516364297,true
14442713,1647508091,100000000000,100000000000000000000000,914977309984239133628,90764399036579799260133032,0.001101753562646275,true
14442960,1647508338,100000000000,100000000000000000000000,914973537640759661340,90763654378505162083174171,0.001101762601833738,true
14443207,1647508585,100000000000,100000000000000000000000,914969768358393758637,90762910327251209175914956,0.001101771633803322,true
14443454,1647508832,100000000000,100000000000000000000000,914966002070290661534,90762166869554139652491989,0.001101780658715681,true
14443701,1647509080,100000000000,100000000000000000000000,914962238762958227949,90761424002735126373468900,0.001101789676602985,true
14443948,1647509327,100000000000,100000000000000000000000,914958668681112018674,90760719463741409077599828,0.001101798229353499,true
14444195,1647509574,100000000000,100000000000000000000000,914954823380083907429,90759960322612715887967844,0.001101807445095203,true
14444442,1647509821,100000000000,100000000000000000000000,914951068407153425141,90759219101463823737549911,0.001101816443442571,true
14444689,1647510068,100000000000,100000000000000000000000,914947316988425520961,90758478584955209565081875,0.001101825433382449,true
14444936,1647510315,100000000000,100000000000000000000000,914943568438982647582,90757738637203382449196899,0.001101834416564099,true
14445183,1647510562,100000000000,100000000000000000000000,914939822795460823934,90756999265475342393724940,0.001101843392898962,true
14445430,1647510809,100000000000,100000000000000000000000,914936079993679202199,90756260457037087796072331,0.001101852362541301,true
14445677,1647511056,100000000000,100000000000000000000000,914932340087599420337,90755522222592172238530350,0.001101861325360833,true
14445924,1647511303,100000000000,100000000000000000000000,914928602992350296386,90754784545302024367699127,0.001101870281561662,true
